OMRÅDE,KØN,ALDER,CIVILSTAND,TID,INDHOLD
All Denmark,Total,"Age, total",Total,2017Q2,5756170
All Denmark,Men,"Age, total",Total,2017Q3,2866952
All Denmark,Women,"Age, total",Total,2017Q3,2893742
All Denmark,Total,"Age, total",Total,2017Q3,5760694
All Denmark,Men,"Age, total",Total,2017Q4,2875257
All Denmark,Women,"Age, total",Total,2017Q4,2903313
All Denmark,Total,"Age, total",Total,2017Q4,5778570
All Denmark,Men,"Age, total",Total,2018Q1,2876473
All Denmark,Women,"Age, total",Total,2018Q1,2904717
All Denmark,Total,"Age, total",Total,2018Q1,5781190
All Denmark,Men,"Age, total",Total,2018Q2,2878745
All Denmark,Women,"Age, total",Total,2018Q2,2907119
All Denmark,Total,"Age, total",Total,2018Q2,5785864
All Denmark,Men,"Age, total",Total,2018Q3,2881620
All Denmark,Women,"Age, total",Total,2018Q3,2908337
All Denmark,Total,"Age, total",Total,2018Q3,5789957
All Denmark,Men,"Age, total",Total,2018Q4,2888726
All Denmark,Women,"Age, total",Total,2018Q4,2917289
All Denmark,Total,"Age, total",Total,2018Q4,5806015
All Denmark,Men,"Age, total",Total,2019Q1,2889073
All Denmark,Women,"Age, total",Total,2019Q1,2917008
All Denmark,Total,"Age, total",Total,2019Q1,5806081
All Denmark,Men,"Age, total",Total,2019Q2,2891445
All Denmark,Women,"Age, total",Total,2019Q2,2919968
All Denmark,Total,"Age, total",Total,2019Q2,5811413
All Denmark,Men,"Age, total",Total,2019Q3,2893956
All Denmark,Women,"Age, total",Total,2019Q3,2920505
All Denmark,Total,"Age, total",Total,2019Q3,5814461
All Denmark,Men,"Age, total",Total,2019Q4,2899207
All Denmark,Women,"Age, total",Total,2019Q4,2928256
All Denmark,Total,"Age, total",Total,2019Q4,5827463
All Denmark,Men,"Age, total",Total,2020Q1,2896918
All Denmark,Women,"Age, total",Total,2020Q1,2925845
All Denmark,Total,"Age, total",Total,2020Q1,5822763
All Denmark,Men,"Age, total",Total,2020Q2,2897603
All Denmark,Women,"Age, total",Total,2020Q2,2927254
All Denmark,Total,"Age, total",Total,2020Q2,5824857
All Denmark,Men,"Age, total",Total,2020Q3,2897656
All Denmark,Women,"Age, total",Total,2020Q3,2927681
All Denmark,Total,"Age, total",Total,2020Q3,5825337
All Denmark,Men,"Age, total",Total,2020Q4,2903441
All Denmark,Women,"Age, total",Total,2020Q4,2933772
All Denmark,Total,"Age, total",Total,2020Q4,5837213
All Denmark,Men,"Age, total",Total,2021Q1,2904857
All Denmark,Women,"Age, total",Total,2021Q1,2935188
All Denmark,Total,"Age, total",Total,2021Q1,5840045
All Denmark,Men,"Age, total",Total,2021Q2,2906729
All Denmark,Women,"Age, total",Total,2021Q2,2936618
All Denmark,Total,"Age, total",Total,2021Q2,5843347
All Denmark,Men,"Age, total",Total,2021Q3,2910605
All Denmark,Women,"Age, total",Total,2021Q3,2939584
All Denmark,Total,"Age, total",Total,2021Q3,5850189
All Denmark,Men,"Age, total",Total,2021Q4,2919210
All Denmark,Women,"Age, total",Total,2021Q4,2948202
All Denmark,Total,"Age, total",Total,2021Q4,5867412
All Denmark,Men,"Age, total",Total,2022Q1,2922915
All Denmark,Women,"Age, total",Total,2022Q1,2950505
All Denmark,Total,"Age, total",Total,2022Q1,5873420
All Denmark,Men,"Age, total",Total,2022Q2,2927710
All Denmark,Women,"Age, total",Total,2022Q2,2955852
All Denmark,Total,"Age, total",Total,2022Q2,5883562
All Denmark,Men,"Age, total",Total,2022Q3,2937921
All Denmark,Women,"Age, total",Total,2022Q3,2972656
All Denmark,Total,"Age, total",Total,2022Q3,5910577
All Denmark,Men,"Age, total",Total,2022Q4,2946451
All Denmark,Women,"Age, total",Total,2022Q4,2981913
All Denmark,Total,"Age, total",Total,2022Q4,5928364
All Denmark,Men,"Age, total",Total,2023Q1,2948999
All Denmark,Women,"Age, total",Total,2023Q1,2983655
All Denmark,Total,"Age, total",Total,2023Q1,5932654
All Denmark,Men,"Age, total",Total,2023Q2,2953238
All Denmark,Women,"Age, total",Total,2023Q2,2988150
All Denmark,Total,"Age, total",Total,2023Q2,5941388
All Denmark,Men,"Age, total",Total,2023Q3,2955326
All Denmark,Women,"Age, total",Total,2023Q3,2988819
All Denmark,Total,"Age, total",Total,2023Q3,5944145
All Denmark,Men,"Age, total",Total,2023Q4,2962468
All Denmark,Women,"Age, total",Total,2023Q4,2996996
All Denmark,Total,"Age, total",Total,2023Q4,5959464
All Denmark,Men,"Age, total",Total,2024Q1,2963691
All Denmark,Women,"Age, total",Total,2024Q1,2997558
All Denmark,Total,"Age, total",Total,2024Q1,5961249
All Denmark,Men,"Age, total",Total,2024Q2,2966881
All Denmark,Women,"Age, total",Total,2024Q2,3000943
All Denmark,Total,"Age, total",Total,2024Q2,5967824
All Denmark,Men,"Age, total",Total,2024Q3,2969622
All Denmark,Women,"Age, total",Total,2024Q3,3002798
All Denmark,Total,"Age, total",Total,2024Q3,5972420
All Denmark,Men,"Age, total",Total,2024Q4,2977488
All Denmark,Women,"Age, total",Total,2024Q4,3012497
All Denmark,Total,"Age, total",Total,2024Q4,5989985
All Denmark,Men,"Age, total",Total,2025Q1,2978985
All Denmark,Women,"Age, total",Total,2025Q1,3013749
All Denmark,Total,"Age, total",Total,2025Q1,5992734
All Denmark,Men,"Age, total",Total,2025Q2,2982097
All Denmark,Women,"Age, total",Total,2025Q2,3017580
All Denmark,Total,"Age, total",Total,2025Q2,5999677
All Denmark,Men,"Age, total",Total,2025Q3,2984385
All Denmark,Women,"Age, total",Total,2025Q3,3018035
All Denmark,Total,"Age, total",Total,2025Q3,6002420
All Denmark,Men,"Age, total",Total,2025Q4,2992365
All Denmark,Women,"Age, total",Total,2025Q4,3027501
All Denmark,Total,"Age, total",Total,2025Q4,6019866
All Denmark,Men,"Age, total",Total,2026Q1,2996312
All Denmark,Women,"Age, total",Total,2026Q1,3029291
All Denmark,Total,"Age, total",Total,2026Q1,6025603
All Denmark,Men,"Age, total",Total,2026Q2,2998728
All Denmark,Women,"Age, total",Total,2026Q2,3032519
All Denmark,Total,"Age, total",Total,2026Q2,6031247
