REGION,EJKAT20,TAL,TID,INDHOLD
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2011Q4,54.1
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2021Q4,100.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2021Q4,100.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2006Q4,80.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2006Q4,71.4
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2017Q1,76.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2017Q1,78.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2006Q3,79.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2006Q3,72.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2009Q4,68.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2009Q4,53.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2017Q3,78.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2017Q3,81.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2006Q1,74.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2006Q1,66.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2014Q1,67.4
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2014Q1,61.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2023Q2,96.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2023Q2,96.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2022Q4,96.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2022Q4,96.1
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2009Q3,67.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2009Q3,52.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2017Q2,78.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2017Q2,79.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2014Q3,68.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2014Q3,63.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2008Q2,79.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2008Q2,61.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2012Q4,65.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2012Q4,56.5
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2020Q3,88.3
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2020Q3,89.6
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2013Q1,66.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2013Q1,57.4
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2022Q3,99.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2022Q3,98.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2019Q2,83.8
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2019Q2,85.4
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2005Q4,69.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2005Q4,62.6
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2024Q4,103.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2024Q4,104.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2015Q1,71.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2015Q1,66.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2008Q3,77.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2008Q3,59.5
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2011Q2,68.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2011Q2,56.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2010Q2,69.3
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2010Q2,55.5
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2025Q2,105.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2025Q2,110.0
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2015Q4,73.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2015Q4,71.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2011Q1,69.2
