date,target_yoy,price_d2_lag1,price_d2_lag2,price_d2_lag4,price_d2_roll4_mean,price_d2_roll4_std,unemployment_d1_lag1,unemployment_d1_lag4,interest_rate_d2_lag1,interest_rate_d2_lag4,population_d2_lag1,population_d2_lag4
2019-01-01,2.5990099009901124,0.30000000000001137,-0.4000000000000057,0.5000000000000142,-0.1750000000000007,0.359397644214136,0.13333333333333286,0.13333333333333375,-0.1296666666666666,0.40899999999999936,11965.0,-15256.0
2019-04-01,2.822085889570558,-0.10000000000000853,0.30000000000001137,-0.5,0.04999999999999716,0.36968455021365054,0.2333333333333334,-0.5666666666666669,0.0023333333333335204,-0.11100000000000021,-15992.0,2054.0
2019-07-01,3.3007334963325308,0.3999999999999915,-0.10000000000000853,-0.4000000000000057,0.10000000000000142,0.29439202887759264,-0.46666666666666634,-0.10000000000000009,0.060000000000000275,-0.08499999999999996,5266.0,-581.0
2019-10-01,3.2766990291261955,-0.19999999999998863,0.3999999999999915,0.30000000000001137,-3.552713678800501e-15,0.2708012801545271,0.03333333333333366,0.13333333333333286,-0.18466666666666764,-0.1296666666666666,-2284.0,11965.0
2020-01-01,2.533172496984304,-0.10000000000000853,-0.19999999999998863,-0.10000000000000853,-0.14999999999999858,0.4509249752822806,0.16666666666666652,0.2333333333333334,0.16100000000000092,0.0023333333333335204,9954.0,-15992.0
2020-04-01,2.028639618138439,-0.6999999999999886,-0.10000000000000853,0.3999999999999915,-0.09999999999999787,0.5354126134736262,0.3999999999999999,-0.46666666666666634,0.10333333333333328,0.060000000000000275,-17702.0,5266.0
2020-07-01,4.497041420118331,0.5999999999999943,-0.6999999999999886,-0.19999999999998863,0.5249999999999986,1.297112177107281,1.0,0.03333333333333366,0.1629999999999996,-0.18466666666666764,6794.0,-2284.0
2020-10-01,7.7555816686251555,2.299999999999997,0.5999999999999943,-0.10000000000000853,0.7000000000000028,1.2301761391497232,-0.39999999999999947,0.16666666666666652,-0.30066666666666686,0.16100000000000092,-1614.0,9954.0
2021-01-01,11.764705882352944,0.6000000000000085,2.299999999999997,-0.6999999999999886,0.8499999999999979,1.0214368964029719,-0.2666666666666675,0.3999999999999999,0.0466666666666673,0.10333333333333328,11396.0,-17702.0
2021-04-01,14.035087719298245,-0.10000000000000853,0.6000000000000085,0.5999999999999943,0.5,1.329160135825125,0.3333333333333339,1.0,0.0409999999999997,0.1629999999999996,-9044.0,6794.0
